,loss
0,6.314455986022949
1,5.963690757751465
2,5.945391654968262
3,5.933966159820557
4,5.909896373748779
5,5.882354736328125
6,5.856786727905273
7,5.831453800201416
8,5.796690464019775
9,5.753674507141113
10,5.700977325439453
11,5.645325660705566
12,5.584122657775879
13,5.5225372314453125
14,5.456810474395752
15,5.3925323486328125
16,5.322493076324463
17,5.258105754852295
18,5.197248458862305
19,5.132518768310547
20,5.067230701446533
21,5.005429267883301
22,4.944249629974365
23,4.878024578094482
24,4.819058895111084
25,4.756433486938477
26,4.704394817352295
27,4.644533634185791
28,4.587480068206787
29,4.531842231750488
30,4.47185754776001
31,4.4226226806640625
32,4.371794700622559
33,4.32306432723999
34,4.2723388671875
35,4.227700710296631
36,4.176356792449951
37,4.1322922706604
38,4.079674243927002
39,4.0424580574035645
40,3.9968433380126953
41,3.9632160663604736
42,3.9158356189727783
43,3.8772552013397217
44,3.8390417098999023
45,3.8051581382751465
46,3.7672393321990967
47,3.7298812866210938
48,3.6825430393218994
49,3.6682486534118652
50,3.6121673583984375
51,3.592613458633423
52,3.560309886932373
53,3.5280590057373047
54,3.5057804584503174
55,3.4644384384155273
56,3.4278690814971924
57,3.397655725479126
58,3.3705391883850098
59,3.3543992042541504
60,3.319854497909546
61,3.2848751544952393
62,3.260275363922119
63,3.2504959106445312
64,3.2146427631378174
65,3.1849045753479004
66,3.1670682430267334
67,3.13955020904541
68,3.1184115409851074
69,3.09017276763916
70,3.060269594192505
71,3.035914182662964
72,3.0303540229797363
73,3.0041439533233643
74,2.983161211013794
75,2.9675188064575195
76,2.952272415161133
77,2.92148494720459
78,2.9111106395721436
79,2.8825747966766357
80,2.855890989303589
81,2.834244728088379
82,2.829552173614502
83,2.8075852394104004
84,2.778134822845459
85,2.7848992347717285
86,2.7522003650665283
87,2.7271523475646973
88,2.7140157222747803
89,2.7072579860687256
90,2.6874756813049316
91,2.664214611053467
92,2.6446282863616943
93,2.6365010738372803
94,2.6305501461029053
95,2.6218149662017822
96,2.6009724140167236
97,2.571664810180664
98,2.568469285964966
99,2.5486552715301514
