,loss
0,6.259069442749023
1,5.969958782196045
2,5.946026802062988
3,5.91778564453125
4,5.878915309906006
5,5.846012115478516
6,5.812027454376221
7,5.77994966506958
8,5.7380242347717285
9,5.682821273803711
10,5.61007833480835
11,5.521234035491943
12,5.412201404571533
13,5.316513538360596
14,5.208652019500732
15,5.101134300231934
16,4.9859538078308105
17,4.879617691040039
18,4.775460243225098
19,4.670383930206299
20,4.564655780792236
21,4.465045928955078
22,4.361505508422852
23,4.268395900726318
24,4.172366619110107
25,4.08127498626709
26,3.999272108078003
27,3.916717767715454
28,3.84110426902771
29,3.7641005516052246
30,3.6958982944488525
31,3.623934507369995
32,3.5582218170166016
33,3.495297431945801
34,3.4286680221557617
35,3.3718278408050537
36,3.2987112998962402
37,3.254232883453369
38,3.191035270690918
39,3.142815113067627
40,3.0948803424835205
41,3.027772903442383
42,2.984893321990967
43,2.9468085765838623
44,2.891810178756714
45,2.8601136207580566
46,2.805424928665161
47,2.7662744522094727
48,2.7342302799224854
49,2.7029404640197754
50,2.625875949859619
51,2.609773874282837
52,2.5707614421844482
53,2.5344858169555664
54,2.4965314865112305
55,2.4588708877563477
56,2.4239981174468994
57,2.401536703109741
58,2.365487813949585
59,2.34102201461792
60,2.2968502044677734
61,2.2727110385894775
62,2.241083860397339
63,2.20873761177063
64,2.1898632049560547
65,2.1597650051116943
66,2.1248421669006348
67,2.104583263397217
68,2.0755434036254883
69,2.0475940704345703
70,2.02740216255188
71,2.014113664627075
72,1.978421926498413
73,1.9681737422943115
74,1.9227187633514404
75,1.8968431949615479
76,1.8840798139572144
77,1.8678855895996094
78,1.8276194334030151
79,1.8105230331420898
80,1.7998511791229248
81,1.7823203802108765
82,1.7499678134918213
83,1.7277330160140991
84,1.7144383192062378
85,1.6888211965560913
86,1.6800391674041748
87,1.6536649465560913
88,1.6328747272491455
89,1.6091053485870361
90,1.599931001663208
91,1.5785983800888062
92,1.547513484954834
93,1.5316859483718872
94,1.5176552534103394
95,1.4878308773040771
96,1.5022886991500854
97,1.482814073562622
98,1.477504014968872
99,1.4411829710006714
100,1.4156795740127563
101,1.4271553754806519
102,1.3792638778686523
103,1.3859736919403076
104,1.3474788665771484
105,1.3699262142181396
106,1.3514535427093506
107,1.3167489767074585
108,1.3088507652282715
109,1.2977988719940186
110,1.2937414646148682
111,1.2663344144821167
112,1.253227949142456
113,1.229883074760437
114,1.2382320165634155
115,1.2160526514053345
116,1.2114534378051758
117,1.1896333694458008
118,1.2040172815322876
119,1.1635257005691528
120,1.1447356939315796
121,1.1676499843597412
122,1.129134178161621
123,1.111678957939148
124,1.1237599849700928
125,1.0846447944641113
126,1.0960406064987183
127,1.0893291234970093
128,1.0735979080200195
129,1.0552362203598022
130,1.0635238885879517
131,1.0483067035675049
132,1.043086051940918
133,1.0646733045578003
134,1.025702714920044
135,1.0030133724212646
136,0.9978889226913452
137,1.0021764039993286
138,0.9744433760643005
139,0.9780688881874084
140,0.9833630323410034
141,0.9423585534095764
142,0.9501833319664001
143,0.965251624584198
144,0.9447730779647827
145,0.9166439175605774
146,0.9316175580024719
147,0.9107213020324707
148,0.8924845457077026
149,0.8953496217727661
150,0.8873584866523743
151,0.8967931866645813
152,0.8894184231758118
153,0.877511739730835
154,0.8573598861694336
155,0.8603389859199524
156,0.8572841882705688
157,0.8332773447036743
158,0.840929388999939
159,0.830586850643158
160,0.8231425881385803
161,0.8148323893547058
162,0.8344593048095703
163,0.8277095556259155
164,0.7884213328361511
165,0.8110337257385254
166,0.7869044542312622
167,0.7789638042449951
168,0.7765940427780151
169,0.7811908721923828
170,0.7768914699554443
171,0.7610282301902771
172,0.7761232852935791
